x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 2
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
1.1	1	17273	3.630762357e-13	1.131370944
1.2	1	17273	3.960831663e-13	1.131370944
1.3	1	17273	4.290900968e-13	1.131370944
1.4	1	17273	4.620970273e-13	1.131370944
1.5	1	17185	4.951039578e-13	1.131370944
1.6	1	17101	5.281108884e-13	1.131370944
1.7	1	17021	5.611178189e-13	1.131370944
1.8	1	16953	5.941247494e-13	1.131370944
1.9	1	1679	0	0.8000000662
2	1	1679	0	0.8000000662
2.1	1	1679	0	0.8000000662
2.2	1	1679	0	0.8000000662
2.3	1	1679	0	0.8000000662
2.4	1	1679	0	0.8000000662
2.5	1	1679	0	0.8000000662
2.6	1	1679	0	0.8000000662
2.7	1	1679	0	0.8000000662
2.8	1	1679	0	0.8000000662
2.9	1	1679	0	0.8000000662
3	1	1679	0	0.8000000662
3.1	1	1679	0	0.8000000662
3.2	1	1679	0	0.8000000662
3.3	1	1679	0	0.8000000662
3.4	1	1679	0	0.8000000662
3.5	1	1679	0	0.8000000662
3.6	1	1679	0	0.8000000662
3.7	1	1679	0	0.8000000662
3.8	1	1679	0	0.8000000662
3.9	1	1679	0	0.8000000662
4	1	1679	0	0.8000000662
4.1	1	1679	0	0.8000000662
4.2	1	1679	0	0.8000000662
4.3	1	1679	0	0.8000000662
4.4	1	1679	0	0.8000000662
4.5	1	1679	0	0.8000000662
4.6	1	1679	0	0.8000000662
4.7	1	1679	0	0.8000000662
4.8	1	1679	0	0.8000000662
4.9	1	1679	0	0.8000000662
5	1	1679	0	0.8000000662
5.1	1	1679	0	0.8000000662
5.2	1	1679	0	0.8000000662
5.3	1	1679	0	0.8000000662
5.4	1	1679	0	0.8000000662
5.5	1	1679	0	0.8000000662
5.6	1	1679	0	0.8000000662
5.7	1	1679	0	0.8000000662
5.8	1	1679	0	0.8000000662
5.9	1	1679	0	0.8000000662
6	1	1679	0	0.8000000662
6.1	1	1679	0	0.8000000662
6.2	1	1679	0	0.8000000662
6.3	1	1679	0	0.8000000662
6.4	1	1679	0	0.8000000662
6.5	1	1679	0	0.8000000662
6.6	1	1679	0	0.8000000662
6.7	1	1679	0	0.8000000662
6.8	1	1679	0	0.8000000662
6.9	1	1679	0	0.8000000662
7	1	1679	0	0.8000000662
7.1	1	1679	0	0.8000000662
7.2	1	1679	0	0.8000000662
7.3	1	1679	0	0.8000000662
7.4	1	1679	0	0.8000000662
7.5	1	1679	0	0.8000000662
7.6	1	1679	0	0.8000000662
7.7	1	1679	0	0.8000000662
7.8	1	1679	0	0.8000000662
7.9	1	1679	0	0.8000000662
8	1	1679	0	0.8000000662
8.1	1	1679	0	0.8000000662
8.2	1	1679	0	0.8000000662
8.3	1	1679	0	0.8000000662
8.4	1	1679	0	0.8000000662
8.5	1	1679	0	0.8000000662
8.6	1	1679	0	0.8000000662
8.7	1	1679	0	0.8000000662
8.8	1	1679	0	0.8000000662
8.9	1	1679	0	0.8000000662
9	1	1679	0	0.8000000662
9.1	1	1679	0	0.8000000662
9.2	1	1679	0	0.8000000662
9.3	1	1679	0	0.8000000662
9.4	1	1679	0	0.8000000662
9.5	1	1679	0	0.8000000662
9.6	1	1679	0	0.8000000662
9.7	1	1679	0	0.8000000662
9.8	1	1679	0	0.8000000662
9.9	1	1679	0	0.8000000662
10	1	1679	0	0.8000000662
10.1	1	1679	0	0.8000000662
10.2	1	1679	0	0.8000000662
10.3	1	1679	0	0.8000000662
10.4	1	1679	0	0.8000000662
10.5	1	1679	0	0.8000000662
10.6	1	1679	0	0.8000000662
10.7	1	1679	0	0.8000000662
10.8	1	1679	0	0.8000000662
10.9	1	1679	0	0.8000000662
11	1	1679	0	0.8000000662
11.1	1	1679	0	0.8000000662
11.2	1	1679	0	0.8000000662
11.3	1	1679	0	0.8000000662
11.4	1	1679	0	0.8000000662
11.5	1	1679	0	0.8000000662
11.6	1	1679	0	0.8000000662
11.7	1	1679	0	0.8000000662
11.8	1	1679	0	0.8000000662
11.9	1	1679	0	0.8000000662
12	1	1679	0	0.8000000662
